id,created_at,player1,player2,winner,tournament_name,tournament_id,event_id,player1_score,player2_score,is_verified_table,elo_capped,game_id
1148,2026-02-15T16:58:50.567+00:00,TEST_ORGANIZER,JARNO,TEST_ORGANIZER,,,,3,0,false,false,
1149,2026-02-15T16:59:12.408+00:00,1,3,3,Tournament,528fbbc7-4ed3-43cf-94e1-bc777bf81816,,,,false,false,
1150,2026-02-15T16:59:13.948+00:00,TEST_ORGANIZER,2,2,Tournament,528fbbc7-4ed3-43cf-94e1-bc777bf81816,,,,false,false,
1151,2026-02-15T16:59:17.429+00:00,TEST_ORGANIZER,1,TEST_ORGANIZER,Tournament (Bronze),528fbbc7-4ed3-43cf-94e1-bc777bf81816,,,,false,false,
1152,2026-02-15T16:59:18.519+00:00,2,3,2,Tournament,528fbbc7-4ed3-43cf-94e1-bc777bf81816,,,,false,false,
1153,2026-02-16T04:00:33.089+00:00,JARNO,TEST_ORGANIZER,TEST_ORGANIZER,,,,1,3,false,false,
1154,2026-02-16T04:00:59.105+00:00,TONI,MINNA,MINNA,Tournament,40874c34-28f2-46eb-8b1c-e4ebf6cf50de,,,,false,false,
1155,2026-02-16T04:01:02.608+00:00,Jarno,TEST_ORGANIZER,TEST_ORGANIZER,Tournament,40874c34-28f2-46eb-8b1c-e4ebf6cf50de,,,,false,false,
1156,2026-02-16T04:01:05.57+00:00,MINNA,TEST_ORGANIZER,MINNA,Tournament,40874c34-28f2-46eb-8b1c-e4ebf6cf50de,,,,false,false,
1157,2026-02-16T04:01:07.248+00:00,TONI,Jarno,Jarno,Tournament (Bronze),40874c34-28f2-46eb-8b1c-e4ebf6cf50de,,,,false,false,
1158,2026-02-16T04:05:58.295+00:00,GUEST10,TEST_ORGANIZER,GUEST10,,,,3,0,false,false,
1159,2026-02-16T12:49:37.128+00:00,JARNO,TEST_ORGANIZER,JARNO,,,,3,1,false,false,
1160,2026-02-16T15:01:50.736+00:00,JARNO,TEST_ORGANIZER,JARNO,,,,3,1,false,false,
1161,2026-02-16T15:02:14.063+00:00,TEST_ORGANIZER,Jarno,TEST_ORGANIZER,Tournament,08b2a59b-1f39-4354-9df2-b1ab7d35f996,,,,false,false,
1162,2026-02-16T15:02:15.999+00:00,TONI,WINNER,WINNER,Tournament,08b2a59b-1f39-4354-9df2-b1ab7d35f996,,,,false,false,
1163,2026-02-16T15:02:19.066+00:00,WINNER,TEST_ORGANIZER,TEST_ORGANIZER,Tournament,08b2a59b-1f39-4354-9df2-b1ab7d35f996,,,,false,false,
1164,2026-02-16T15:02:20.412+00:00,TONI,Jarno,Jarno,Tournament (Bronze),08b2a59b-1f39-4354-9df2-b1ab7d35f996,,,,false,false,
1165,2026-02-16T15:09:39.277+00:00,TEST_ORGANIZER,TONI,TONI,Day 9,ef82ba72-de89-46bb-8f5b-f778dfa9e3c4,,,,false,false,
1166,2026-02-16T15:09:41.074+00:00,Jarno,MINNA,Jarno,Day 9,ef82ba72-de89-46bb-8f5b-f778dfa9e3c4,,,,false,false,
1167,2026-02-16T15:09:44.07+00:00,TEST_ORGANIZER,MINNA,TEST_ORGANIZER,Day 9,ef82ba72-de89-46bb-8f5b-f778dfa9e3c4,,,,false,false,
1168,2026-02-16T15:09:46.596+00:00,TEST_ORGANIZER,TONI,Jarno,Day 9,ef82ba72-de89-46bb-8f5b-f778dfa9e3c4,,,,false,false,
1169,2026-02-16T15:58:18.842+00:00,DON,WIN,WIN,,,,0,3,false,false,
1170,2026-02-16T15:59:41.346+00:00,WIN,TEST_ORGANIZER,TEST_ORGANIZER,Tournament,1a4ee50f-b6a3-493b-8de1-0a43f91cfaca,,,,false,false,
1171,2026-02-16T15:59:43.02+00:00,Jarno,DON,DON,Tournament,1a4ee50f-b6a3-493b-8de1-0a43f91cfaca,,,,false,false,
1172,2026-02-16T15:59:46.075+00:00,Jarno,WIN,Jarno,Tournament (Bronze),1a4ee50f-b6a3-493b-8de1-0a43f91cfaca,,,,false,false,
1173,2026-02-16T15:59:47.916+00:00,DON,TEST_ORGANIZER,TEST_ORGANIZER,Tournament,1a4ee50f-b6a3-493b-8de1-0a43f91cfaca,,,,false,false,
1174,2026-02-16T16:00:19.539+00:00,TONI,TEST_ORGANIZER,TEST_ORGANIZER,Day 1,30daf664-740e-4aef-ab04-49ba602afb74,,,,false,false,
1175,2026-02-16T16:00:21.274+00:00,MINNA,Jarno,MINNA,Day 1,30daf664-740e-4aef-ab04-49ba602afb74,,,,false,false,
